trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-115.33818913094223,"{0: 12, 1: 3, 2: 9, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.25}",30,12,-68.02363818417935,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.1111111111111111}",25,0,-20.752030271852874,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.0625}",25,0,-16.2703683422412,"{0: 22, 1: 0, 2: 1, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.04}",25,0,-17.242598187996652,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.027777777777777776}",25,11,-6.589590912560551,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.02040816326530612}",35,0,49.90070851589876,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.015625}",20,0,31.644995262617254,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.012345679012345678}",30,0,38.83858959004518,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.01}",20,0,30.7896384479741,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.008264462809917356}",25,0,28.56461416784655,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.006944444444444444}",20,12,16.386215090926104,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.005917159763313609}",30,18,23.43282434382925,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.00510204081632653}",20,11,-24.105749649574538,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.0044444444444444444}",20,1,18.715666651891883,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.00390625}",20,0,24.199465080014708,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.0034602076124567475}",20,0,26.18995214886257,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.0030864197530864196}",30,8,37.42271099363987,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.002770083102493075}",25,0,38.274949016136155,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
