trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-107.53254497543828,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.25}",20,0,-38.345552463976446,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.1111111111111111}",25,0,31.548730773058033,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.0625}",20,0,34.094423568600305,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.04}",20,0,-20.70333060240048,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.027777777777777776}",25,9,27.01045956652314,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.02040816326530612}",25,0,32.4921229498655,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.015625}",25,3,13.373568463222753,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.012345679012345678}",20,7,4.371047605564449,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.01}",25,0,37.4399864086402,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.008264462809917356}",20,13,8.281847932710502,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.006944444444444444}",20,6,21.177807203595346,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.005917159763313609}",20,0,30.305329269500625,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.00510204081632653}",30,3,36.882025981575964,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.0044444444444444444}",20,6,23.74497059767113,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.00390625}",30,13,30.770424213458437,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.0034602076124567475}",25,4,30.41130764123931,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.0030864197530864196}",25,9,27.79376467588896,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.002770083102493075}",35,22,23.25373155924487,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.0025}",25,19,10.309935510224449,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,8,33.84729878904724,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,29.77833871505425,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",30,18,21.806637431031405,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,13,29.690521298617515,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,0,27.600263769423506,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,13,23.408434778168388,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,14,10.139900108881022,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",35,7,27.510054325186598,"{0: 27, 1: 0, 2: 0, 3: 1, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,13,11.194274794271884,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,8,17.96739572085146,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
