trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-159.49217397694056,"{0: 9, 1: 3, 2: 4, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.25}",30,0,-39.16272396635662,"{0: 23, 1: 1, 2: 5, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.1111111111111111}",30,8,-29.569216541728462,"{0: 18, 1: 1, 2: 1, 3: 2, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.0625}",25,0,37.68917574130879,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.04}",30,23,13.152285358204415,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.027777777777777776}",20,16,6.506253790553657,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.02040816326530612}",20,15,9.260229118096257,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.015625}",20,4,25.37515953605444,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.012345679012345678}",25,15,15.334925055948752,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.01}",30,15,11.872677626321396,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.008264462809917356}",20,3,30.585803946020718,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.006944444444444444}",30,12,33.96947217718046,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.005917159763313609}",20,4,28.105872364482757,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.00510204081632653}",35,3,48.615343592188026,"{0: 32, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.0044444444444444444}",20,0,-0.5831058841604116,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.00390625}",20,9,17.3289700648789,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.0034602076124567475}",20,5,28.640826685650595,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.0030864197530864196}",20,16,8.177367980848889,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.002770083102493075}",25,5,27.701336832875946,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.0025}",20,6,23.472767492321196,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.0022675736961451248}",20,12,13.693775341938203,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.002066115702479339}",20,6,26.01113963416322,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.001890359168241966}",20,2,31.990760535459778,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.001736111111111111}",30,4,37.96952726518172,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.0016}",35,14,33.14585291731488,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.0014792899408284023}",25,10,27.081209055196755,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.0013717421124828531}",30,0,40.4007440411086,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.0012755102040816326}",30,6,19.921270402037624,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.0011890606420927466}",25,18,12.706896719876378,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.0011111111111111111}",25,12,26.341462930648756,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.001040582726326743}",25,13,19.543895970638243,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.0009765625}",25,11,31.40999069126147,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.0009182736455463728}",30,8,38.77936440438706,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.0008650519031141869}",30,10,30.56468491035646,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.0008163265306122449}",30,12,31.85553746263683,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.0007716049382716049}",20,6,22.921214031099147,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.0007304601899196494}",20,7,22.01674225426862,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
