trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.6312065240778,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.25}",30,0,-275.29675758920365,"{0: 14, 1: 6, 2: 4, 3: 1, 4: 5}",0
3,False,"{'a': 0.5, 'e': 0.1111111111111111}",20,0,-107.24898666951009,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.0625}",20,0,-92.18585841649715,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.04}",35,0,-176.45640144165247,"{0: 19, 1: 5, 2: 9, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.027777777777777776}",20,0,-176.03796066204524,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.02040816326530612}",25,0,-96.54701814113483,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.015625}",30,0,-95.6309944728025,"{0: 20, 1: 3, 2: 4, 3: 3, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.012345679012345678}",20,0,-211.32372071553735,"{0: 9, 1: 1, 2: 4, 3: 3, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.01}",25,0,-104.45174908157747,"{0: 16, 1: 4, 2: 2, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.008264462809917356}",20,0,-25.093445796034825,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.006944444444444444}",35,0,-131.88656757571482,"{0: 18, 1: 8, 2: 7, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.005917159763313609}",20,0,-131.373307838067,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.00510204081632653}",25,0,-146.6807504530344,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.0044444444444444444}",20,0,-71.28890132072874,"{0: 12, 1: 5, 2: 0, 3: 3, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.00390625}",20,0,-117.1138329008795,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.0034602076124567475}",35,0,-294.14086722917796,"{0: 15, 1: 5, 2: 9, 3: 2, 4: 4}",0
18,False,"{'a': 0.5, 'e': 0.0030864197530864196}",20,7,-23.30611930224186,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.002770083102493075}",20,0,-71.42123873616468,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.0025}",25,0,-203.1787037882889,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
1,True,"{'a': 0, 'e': 0}",25,0,-172.97199209215182,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
2,True,"{'a': 0, 'e': 0}",30,0,-70.88582513041808,"{0: 23, 1: 2, 2: 3, 3: 1, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",30,0,-270.56889486611857,"{0: 12, 1: 5, 2: 8, 3: 1, 4: 4}",0
4,True,"{'a': 0, 'e': 0}",30,0,-124.06961533730815,"{0: 17, 1: 2, 2: 10, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,0,-339.46596493806015,"{0: 8, 1: 4, 2: 5, 3: 2, 4: 6}",0
6,True,"{'a': 0, 'e': 0}",30,11,-56.69615866618785,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,0,-178.21287922461045,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 3}",0
8,True,"{'a': 0, 'e': 0}",20,0,-119.93722896861308,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",25,0,-183.28060452481773,"{0: 12, 1: 5, 2: 3, 3: 3, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",25,0,-146.18874165860362,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
